src_id,dst_id,type
0,9365,0
0,10457,0
0,10341,0
0,8753,0
1,10111,0
1,9357,0
1,7827,0
1,7224,0
1,9625,0
2,9309,0
2,9406,0
2,9707,0
2,8623,0
2,10288,0
2,9559,0
2,7224,0
3,9751,0
3,10457,0
3,8346,0
3,9355,0
4,9703,0
4,10248,0
4,7561,0
4,9066,0
4,9100,0
4,8141,0
4,8430,0
4,9874,0
4,8505,0
5,10206,0
5,10122,0
5,8589,0
5,9358,0
5,9651,0
5,8438,0
5,9625,0
6,9791,0
6,10631,0
6,8168,0
6,8138,0
6,7948,0
7,8734,0
7,8632,0
7,9113,0
7,8306,0
8,7108,0
8,8692,0
8,7135,0
8,10528,0
9,8348,0
9,9119,0
9,7968,0
9,9632,0
9,9124,0
9,7337,0
9,8234,0
9,8489,0
9,9259,0
9,9391,0
9,7600,0
9,9393,0
9,9396,0
9,7991,0
9,8887,0
9,7993,0
9,9144,0
9,7867,0
9,9401,0
9,8388,0
9,10180,0
9,7366,0
9,10438,0
9,8266,0
9,10573,0
9,10319,0
9,10064,0
9,8915,0
9,9048,0
9,8284,0
9,8542,0
9,10336,0
9,7653,0
9,9318,0
9,7528,0
9,9576,0
9,7274,0
9,8170,0
9,8300,0
9,8045,0
9,8301,0
9,7282,0
9,10098,0
9,9077,0
9,8954,0
9,8703,0
9,10114,0
9,8707,0
9,7812,0
9,7434,0
9,8332,0
9,7950,0
9,10128,0
9,10134,0
10,7207,0
10,8235,0
10,9836,0
10,7213,0
10,10545,0
10,8950,0
10,9144,0
11,7655,0
11,9357,0
11,9425,0
11,8369,0
11,9842,0
12,9054,0
12,10048,0
12,9154,0
12,9612,0
12,10192,0
12,7219,0
12,8309,0
13,8958,0
13,10288,0
13,9425,0
13,7515,0
14,10206,0
14,8546,0
14,7685,0
14,9640,0
14,8521,0
14,10219,0
14,7279,0
14,10288,0
14,8594,0
14,10390,0
14,7224,0
15,8317,0
15,10174,0
15,9472,0
15,7172,0
15,10341,0
15,7846,0
15,9398,0
15,7626,0
15,7084,0
15,7884,0
15,9647,0
15,8016,0
15,7154,0
15,7347,0
15,7094,0
15,7099,0
16,8396,0
16,7870,0
16,10478,0
16,9905,0
17,9886,0
17,8802,0
17,7668,0
17,8395,0
17,7532,0
17,7726,0
17,10002,0
17,7924,0
17,10325,0
17,7193,0
18,8318,0
18,10046,0
18,8163,0
18,8518,0
18,10630,0
18,10123,0
18,8333,0
18,8470,0
19,9378,0
19,8745,0
19,9354,0
19,7502,0
19,9938,0
19,10581,0
19,8054,0
19,10619,0
20,9445,0
20,8877,0
20,9601,0
20,10483,0
21,9719,0
21,9351,0
21,10401,0
21,10163,0
22,8348,0
22,8479,0
22,9121,0
22,8226,0
22,10145,0
22,9124,0
22,8741,0
22,10534,0
22,10535,0
22,7337,0
22,8234,0
22,8107,0
22,10157,0
22,7600,0
22,8624,0
22,7602,0
22,8881,0
22,9393,0
22,7991,0
22,10295,0
22,8507,0
22,10306,0
22,8388,0
22,7749,0
22,10180,0
22,7624,0
22,7113,0
22,8266,0
22,9933,0
22,8015,0
22,10064,0
22,9681,0
22,10319,0
22,9560,0
22,8537,0
22,9821,0
22,10593,0
22,10595,0
22,7274,0
22,8300,0
22,8045,0
22,9201,0
22,10609,0
22,7283,0
22,7414,0
22,10108,0
22,8573,0
22,7552,0
22,7425,0
22,8707,0
22,9864,0
22,9107,0
22,10008,0
22,7323,0
23,8685,0
23,8453,0
23,7527,0
23,10569,0
24,10285,0
24,9198,0
24,7551,0
24,9419,0
25,7807,0
25,7073,0
25,7349,0
25,8226,0
25,7624,0
25,10443,0
25,8045,0
25,7505,0
25,7669,0
26,9544,0
26,8032,0
26,8064,0
26,10107,0
27,8414,0
27,7104,0
27,8105,0
27,8753,0
28,10140,0
28,10206,0
28,8900,0
28,7942,0
28,10380,0
28,9357,0
28,8369,0
28,9241,0
28,10002,0
28,7961,0
28,8826,0
28,7451,0
29,7452,0
29,10615,0
29,9049,0
29,9979,0
30,7492,0
30,8589,0
30,7663,0
30,10564,0
31,8161,0
31,7139,0
31,10218,0
31,10608,0
31,7249,0
32,10300,0
32,8746,0
32,8016,0
32,9684,0
32,8438,0
33,10462,0
33,7265,0
33,7430,0
33,9837,0
33,10607,0
33,7921,0
34,9523,0
34,8607,0
34,7329,0
34,9059,0
34,8294,0
34,9798,0
34,9192,0
34,8553,0
34,8111,0
34,7600,0
34,9327,0
34,10097,0
34,8915,0
34,7128,0
34,9689,0
35,7836,0
35,10503,0
35,7646,0
35,8391,0
36,9245,0
36,7383,0
36,8784,0
36,7897,0
37,9887,0
37,7522,0
37,8901,0
37,7303,0
37,7913,0
37,10444,0
37,8661,0
38,7428,0
38,8798,0
38,8270,0
38,9742,0
39,9813,0
39,9230,0
39,8850,0
39,8547,0
40,10046,0
40,8438,0
40,8522,0
40,8338,0
41,10278,0
41,10410,0
41,8333,0
41,8272,0
41,10296,0
41,7161,0
41,9755,0
42,9150,0
42,9783,0
42,9601,0
42,9859,0
43,9852,0
43,8214,0
43,7487,0
43,8632,0
44,7556,0
44,8135,0
44,7207,0
44,7983,0
44,7603,0
44,9944,0
44,9145,0
44,10171,0
45,9541,0
45,10325,0
45,9472,0
45,9034,0
46,8430,0
46,8785,0
46,9066,0
46,8099,0
47,8741,0
47,9000,0
47,7086,0
47,8496,0
47,9660,0
47,9407,0
47,7366,0
47,7624,0
47,7505,0
47,8537,0
47,8542,0
47,9574,0
47,7912,0
47,10600,0
47,9963,0
47,8685,0
47,10098,0
47,8569,0
47,9855,0
47,7425,0
47,7812,0
47,9099,0
47,9356,0
48,8093,0
48,10037,0
48,8072,0
48,9676,0
48,10351,0
48,10543,0
48,8725,0
48,8150,0
48,9687,0
49,7428,0
49,8798,0
49,8270,0
49,9742,0
50,8504,0
50,9959,0
50,8464,0
50,7762,0
51,7084,0
51,8553,0
51,7441,0
51,10379,0
52,8221,0
52,8925,0
52,7948,0
52,7919,0
52,9072,0
52,9616,0
52,10607,0
52,7347,0
52,10523,0
53,7188,0
53,7399,0
53,8546,0
53,8122,0
54,10047,0
54,8752,0
54,7946,0
54,10139,0
55,8458,0
55,8145,0
55,8981,0
55,7671,0
55,8571,0
56,9053,0
56,7280,0
56,9309,0
56,8827,0
57,9414,0
57,8776,0
57,9738,0
57,7277,0
57,8467,0
57,7417,0
57,8890,0
57,9915,0
58,9437,0
58,8069,0
58,7263,0
58,8824,0
59,7812,0
59,7101,0
59,9005,0
59,8512,0
60,8093,0
60,8255,0
60,7074,0
60,10562,0
60,7081,0
60,10351,0
60,9845,0
60,10543,0
60,7187,0
60,8725,0
60,8150,0
61,8821,0
61,8033,0
61,10579,0
61,9307,0
62,10018,0
62,7619,0
62,7556,0
62,7397,0
62,9763,0
62,10468,0
62,10597,0
62,7849,0
62,10089,0
62,9549,0
62,9304,0
62,7727,0
62,9072,0
62,10159,0
62,8631,0
62,8728,0
62,9850,0
63,8226,0
63,7972,0
63,8230,0
63,8235,0
63,8494,0
63,7730,0
63,7624,0
63,9681,0
63,8537,0
63,8028,0
63,7903,0
63,9574,0
63,10600,0
63,9962,0
63,9963,0
63,10225,0
63,9083,0
63,8701,0
63,9213,0
63,7555,0
63,7689,0
63,8332,0
63,8593,0
63,10008,0
64,8604,0
64,9366,0
64,7816,0
64,9441,0
65,8780,0
65,8854,0
65,8737,0
65,8994,0
66,7903,0
66,8226,0
66,9574,0
66,8111,0
66,8018,0
66,7572,0
66,10552,0
66,8537,0
66,9306,0
67,10300,0
67,9663,0
67,9122,0
67,9865,0
67,9425,0
67,9747,0
68,8414,0
68,10081,0
68,9970,0
68,10278,0
69,8716,0
69,7997,0
69,9325,0
69,8323,0
70,9693,0
70,9263,0
70,10201,0
70,8369,0
70,8050,0
70,7961,0
70,8218,0
70,9402,0
71,8996,0
71,10117,0
71,9164,0
71,10248,0
72,7655,0
72,9357,0
72,9425,0
72,8369,0
72,9842,0
73,8141,0
73,8998,0
73,9616,0
73,8689,0
74,8304,0
74,7800,0
74,10001,0
74,8547,0
75,8094,0
75,7704,0
75,10434,0
75,7531,0
76,8908,0
76,10590,0
76,7478,0
76,9666,0
77,10206,0
77,9791,0
77,7685,0
77,9619,0
77,8244,0
78,8287,0
78,9921,0
78,8643,0
78,7685,0
78,9322,0
78,9425,0
78,10002,0
78,7224,0
79,7357,0
79,9790,0
79,7561,0
79,7562,0
80,10269,0
80,8230,0
80,8232,0
80,8489,0
80,8248,0
80,9535,0
80,9539,0
80,7505,0
80,9317,0
80,9318,0
80,9576,0
80,7669,0
80,7544,0
80,7550,0
80,7807,0
80,7552,0
80,9856,0
80,10367,0
80,8839,0
80,7950,0
81,10060,0
81,8549,0
81,7535,0
81,9929,0
82,7213,0
82,7398,0
82,7552,0
82,8266,0
83,9982,0
83,10078,0
83,7745,0
83,10218,0
83,7084,0
83,8143,0
83,8945,0
83,8854,0
83,10551,0
84,7342,0
84,8824,0
84,8041,0
84,9230,0
85,7966,0
85,9599,0
85,8928,0
85,7777,0
85,10008,0
85,8039,0
85,9000,0
85,9833,0
85,9864,0
85,9208,0
85,9356,0
85,8560,0
85,8177,0
85,9139,0
85,8600,0
85,8155,0
86,10255,0
86,8943,0
86,7839,0
86,9313,0
87,8607,0
87,7968,0
87,9632,0
87,10145,0
87,9391,0
87,7600,0
87,7602,0
87,9144,0
87,7867,0
87,10555,0
87,9408,0
87,8898,0
87,8389,0
87,9798,0
87,8266,0
87,10319,0
87,7251,0
87,10071,0
87,9048,0
87,8537,0
87,10073,0
87,10336,0
87,7528,0
87,9836,0
87,10225,0
87,7283,0
87,8954,0
87,8573,0
87,9213,0
87,7812,0
87,8332,0
87,7950,0
88,8646,0
88,8744,0
88,9656,0
88,7682,0
89,8991,0
89,8992,0
89,9506,0
89,7715,0
89,7587,0
89,9138,0
89,8884,0
89,9140,0
89,9538,0
89,10307,0
89,9542,0
89,9161,0
89,10571,0
89,7134,0
89,7392,0
89,9832,0
89,8809,0
89,9711,0
89,9329,0
89,7543,0
89,8066,0
89,9474,0
89,9495,0
90,9719,0
90,9351,0
90,10401,0
90,10163,0
91,8681,0
91,7561,0
91,7915,0
91,9747,0
91,10197,0
91,9625,0
92,8991,0
92,7328,0
92,8097,0
92,8992,0
92,8101,0
92,8872,0
92,9260,0
92,7855,0
92,9140,0
92,9278,0
92,7232,0
92,8128,0
92,7106,0
92,9538,0
92,9542,0
92,8647,0
92,9161,0
92,10571,0
92,9423,0
92,9808,0
92,7131,0
92,7134,0
92,8158,0
92,7392,0
92,7648,0
92,8415,0
92,9951,0
92,7911,0
92,8809,0
92,9711,0
92,9329,0
92,8066,0
92,7684,0
92,7814,0
92,7945,0
92,7947,0
92,9995,0
92,8982,0
92,9495,0
93,9948,0
93,10435,0
93,8389,0
93,9445,0
93,9669,0
93,9480,0
93,8180,0
93,8533,0
93,8727,0
93,9144,0
93,10073,0
93,8282,0
94,8028,0
94,10018,0
94,10626,0
94,10319,0
94,8496,0
94,7600,0
94,9457,0
94,10098,0
95,8458,0
95,8145,0
95,8981,0
95,7671,0
95,8571,0
96,9470,0
96,10041,0
96,10390,0
96,7747,0
97,8956,0
97,8613,0
97,10174,0
97,7665,0
98,9948,0
98,9213,0
98,8542,0
98,7903,0
98,8863,0
98,9492,0
98,9632,0
98,7555,0
98,9827,0
98,9574,0
98,7624,0
98,9000,0
98,8106,0
98,8301,0
98,8111,0
98,7572,0
99,10220,0
99,7680,0
99,10491,0
99,9179,0
100,8485,0
100,7198,0
100,8689,0
100,9123,0
101,8052,0
101,8689,0
101,8276,0
101,8683,0
102,9333,0
102,8978,0
102,8433,0
102,7634,0
103,7189,0
103,9926,0
103,9982,0
103,7219,0
104,7807,0
104,8608,0
104,7777,0
104,8863,0
104,9919,0
104,9124,0
104,9318,0
104,8232,0
104,8520,0
104,8553,0
104,7499,0
104,8235,0
104,8685,0
104,7503,0
104,9231,0
104,9909,0
104,7479,0
104,9208,0
105,7798,0
105,7351,0
105,7553,0
105,7946,0
106,7934,0
106,9758,0
106,9798,0
106,7624,0
106,8013,0
106,9678,0
106,7603,0
106,9401,0
107,8321,0
107,8990,0
107,9993,0
107,7561,0
108,9972,0
108,10571,0
108,8318,0
108,9027,0
109,8190,0
109,10368,0
109,10466,0
109,7143,0
109,7561,0
109,9706,0
109,10060,0
109,8813,0
109,8465,0
109,7413,0
109,9625,0
109,8117,0
110,8828,0
110,9123,0
110,10339,0
110,8370,0
110,7863,0
110,7735,0
111,8766,0
111,7430,0
